,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,prs_found,frequency,dimensionality,ratio_of_duplicate_prs,total_prs(not a mteric),duplicate_prs(not a metric),cntr_management,additive_contribution_index,logic_coupling_index,has_hard_fork,total_forks (not a metric),total_hard_forks (not a metric),pre_communication
88,datafu,1,https://github.com/apache/DataFu,https://github.com/apache/DataFu,TRUE,TRUE,0.1046511628,31.69649765,0,7,0,0,0.105071815,0.003935246172,FALSE,57,0,0
89,deltacloud,1,https://github.com/apache/Deltacloud,https://github.com/apache/Deltacloud,TRUE,TRUE,0.3043478261,36.20455785,0,4,0,0,0.1027559959,0.001631618864,FALSE,23,0,0
90,deltaspike,1,https://github.com/apache/DeltaSpike,https://github.com/apache/DeltaSpike,TRUE,TRUE,1.318181818,25.53620896,0,110,0,0.03448275862,0.1298529285,0.0006159634538,FALSE,127,0,0
91,derby,1,https://github.com/apache/Derby,https://github.com/apache/Derby,TRUE,TRUE,0.1346153846,79.35480747,0,0,0,0,0.05593637162,0.007228715818,FALSE,124,0,0
92,devicemap,1,https://github.com/apache/DeviceMap,https://github.com/apache/devicemap-browsermap,TRUE,FALSE,0,82.4607684,0,0,0,0,0.0875,0.1690340909,FALSE,5,0,0
93,directmemory,1,https://github.com/apache/DirectMemory,https://github.com/apache/DirectMemory,TRUE,TRUE,0.04255319149,41.74418716,0,1,0,0.25,0.109740153,0.003441151325,FALSE,26,0,0
94,directory,1,https://github.com/apache/Directory,https://github.com/apache/directory-project,TRUE,FALSE,0,50.29979522,0,0,0,0,0.1009132566,0.1510204082,FALSE,3,0,0
95,distributedlog,1,https://github.com/apache/DistributedLog,https://github.com/apache/DistributedLog,TRUE,TRUE,4.794871795,34.65712539,0,184,0,0.06417112299,0.1281498095,0.007499025901,TRUE,72,1,0.45
96,drill,1,https://github.com/apache/Drill,https://github.com/apache/Drill,TRUE,TRUE,21.85046729,43.47667286,0.00261666,2293,6,0.0204168439,0.1030913928,0.0004236215177,TRUE,858,23,0.76
97,dubbo,1,https://github.com/apache/Dubbo,https://github.com/apache/Dubbo,TRUE,TRUE,39.42342342,25.09072558,0.00045558,4390,2,0.567371052,0.07219698432,0.000693327269,TRUE,21491,14,0
98,eagle,1,https://github.com/apache/Eagle,https://github.com/apache/Eagle,TRUE,TRUE,18.96226415,96.49568898,0.00100604,994,1,0.05373134328,0.1154763015,0.000688169732,TRUE,190,4,0
99,easyant,1,https://github.com/apache/EasyAnt,https://github.com/apache/ant-easyant-core,TRUE,TRUE,0.2727272727,37.85788879,0,3,0,0,0.1023561508,0.002396598639,FALSE,7,0,0
100,empire,1,https://github.com/apache/Empire-db,https://github.com/apache/Empire-db,TRUE,TRUE,0.1486486486,25.67335891,0,3,0,0.2727272727,0.054547095,0.001887497006,FALSE,21,0,0
101,esme,1,https://github.com/apache/ESME,https://github.com/apache/ESME,TRUE,FALSE,0,28.98552221,0,0,0,0,0.0879971493,0.003193844226,FALSE,11,0,0
102,etch,1,https://github.com/apache/Etch,https://github.com/apache/Etch,TRUE,FALSE,0,42.48888715,0,0,0,0,0.1473234188,0.004030701924,FALSE,8,0,0
103,falcon,1,https://github.com/apache/Falcon,https://github.com/apache/Falcon,TRUE,TRUE,7.189655172,26.29923776,0.00248139,403,1,0.002398081535,0.06503928623,0.001558802378,TRUE,106,1,0
104,felix,1,https://github.com/apache/Felix,https://github.com/apache/Felix,TRUE,TRUE,2.144230769,31.32404822,0,164,0,0.0269058296,0.06991578788,0.002933884298,TRUE,313,2,0
105,fineract,1,https://github.com/apache/Fineract,https://github.com/apache/Fineract,TRUE,TRUE,28.50724638,49.90701056,0,1974,0,0.06386213887,0.06642786347,0.002532089547,TRUE,780,17,0.01
106,flex,1,https://github.com/apache/Flex,https://github.com/apache/flex-sdk,TRUE,TRUE,0.6984126984,118.6526047,0,39,0,0,0.008888457038,0.003134922672,FALSE,143,0,0
107,flink,1,https://github.com/apache/Flink,https://github.com/apache/Flink,TRUE,TRUE,201.5227273,45.7682832,0.00225,17247,,0.08967528462,0.09426239698,0.0005386972592,TRUE,9710,11,0.07
108,flume,1,https://github.com/apache/Flume,https://github.com/apache/Flume,TRUE,TRUE,3.169811321,41.03910426,0.00877193,228,2,0.04761904762,0.1013120373,0.001224899822,TRUE,1426,9,0.03
109,fluo,1,https://github.com/apache/Fluo,https://github.com/apache/Fluo,TRUE,TRUE,6.65,27.0703646,0,529,0,0.6127819549,0.05412586743,0.005258892225,TRUE,73,3,0.13
110,freemarker,1,https://github.com/apache/FreeMarker,https://github.com/apache/FreeMarker,TRUE,TRUE,0.9861111111,46.43845518,0,68,0,0.04225352113,0.05879211379,0.006228975316,TRUE,210,1,0
111,ftpserver,1,https://github.com/apache/FtpServer,https://github.com/apache/FtpServer,TRUE,TRUE,0.08620689655,35.73267197,0,3,0,0,0.1104056821,0.02375197317,FALSE,52,0,0
112,geode,1,https://github.com/apache/Geode,https://github.com/apache/Geode,TRUE,TRUE,92.20779221,47.76769653,0.001,7101,,0.01303616484,0.07235496701,0.003248286033,TRUE,637,8,0.03
113,geronimo,1,https://github.com/apache/Geronimo,https://github.com/apache/Geronimo,TRUE,TRUE,0.3,35.33735017,0,1,0,0.5,0.1108338989,0.001249657685,FALSE,21,0,0
