,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,prs_found,frequency,dimensionality,ratio_of_duplicate_prs,total_prs(not a mteric),duplicate_prs(not a metric),cntr_management,additive_contribution_index,logic_coupling_index,has_hard_fork,total_forks (not a metric),total_hard_forks (not a metric),pre_communication
114,giraph,1,https://github.com/apache/Giraph,https://github.com/apache/Giraph,TRUE,TRUE,1.637362637,31.80811672,0,124,0,0.04026845638,0.1179520094,0.001770330986,TRUE,255,2,0
115,gora,1,https://github.com/apache/Gora,https://github.com/apache/Gora,TRUE,TRUE,2.806818182,35.95880979,0,227,0,0.02024291498,0.0785653608,0.001777613737,TRUE,112,2,0.09
116,griffin,1,https://github.com/apache/Griffin,https://github.com/apache/Griffin,TRUE,TRUE,10.96296296,68.03542942,0,592,0,0.01351351351,0.1068187736,0.003640715254,TRUE,532,7,0.04
117,groovy,1,https://github.com/apache/Groovy,https://github.com/apache/Groovy,TRUE,TRUE,21.16666667,35.56769813,0,1639,0,0.02902055623,0.07122406164,0.000754758459,TRUE,1623,5,0
118,guacamole,1,https://github.com/apache/Guacamole,https://github.com/apache/guacamole-server,TRUE,TRUE,5.253731343,47.73276498,0,333,0,0.04829545455,0.03938790522,0.00566893424,TRUE,400,7,0
119,hama,1,https://github.com/apache/Hama,https://github.com/apache/Hama,TRUE,TRUE,0.25,30.20731526,0,18,0,0.05,0.07678193287,0.001977829706,FALSE,72,0,0
120,harmony,1,https://github.com/apache/Harmony,https://github.com/apache/Harmony,TRUE,FALSE,0,57.55535249,0,0,0,0,0.04845810501,0.0008018863364,FALSE,35,0,0
121,hawq,1,https://github.com/apache/HAWQ,https://github.com/apache/HAWQ,TRUE,TRUE,21.01388889,49.09298533,0.00265781,1505,4,0.007926023778,0.0756446991,0.00567091522,TRUE,300,4,0.67
122,hcatalog,1,https://github.com/apache/HCatalog,https://github.com/apache/HCatalog,TRUE,FALSE,0,31.32947485,0,0,0,0,0.08394172055,0.009208550455,TRUE,41,1,0
123,helix,1,https://github.com/apache/Helix,https://github.com/apache/Helix,TRUE,TRUE,12.6627907,51.45704775,0.00364631,1097,4,0.4890310786,0.09302159496,0.001552767308,TRUE,170,1,0.04
124,hermes,1,https://github.com/apache/Hermes,https://github.com/allegro/hermes,TRUE,TRUE,12.48051948,15.07265447,0,961,0,0.2010362694,0.05501708944,0.00138417512,TRUE,167,1,0.05
125,httpd-cli,1,https://github.com/apache/httpd-CLI,https://github.com/apache/httpd,TRUE,TRUE,2.083333333,34.15458245,0,189,0,0.07079646018,0.02949597923,0.001364257204,TRUE,904,3,0.01
126,ibatis,1,https://github.com/apache/iBATIS,https://github.com/mybatis/mybatis-3,TRUE,TRUE,12.12621359,20.52787668,0,1195,0,0.3405103668,0.06068810906,0.2139639779,TRUE,10710,2,0.57
127,ignite,1,https://github.com/apache/Ignite,https://github.com/apache/Ignite,TRUE,TRUE,120.525641,41.18744199,0.00225,8816,,0.005945429451,0.05115537758,0.00174324542,TRUE,1698,8,0.1
128,impala,1,https://github.com/apache/Impala,https://github.com/apache/Impala,TRUE,TRUE,0.4545454545,130.9914961,0,22,0,0.28,0.04619401239,0.0004841382871,TRUE,342,3,0
129,isis,1,https://github.com/apache/Isis,https://github.com/apache/Isis,TRUE,TRUE,8.117021277,29.03638732,0,787,0,0.5749354005,0.0741609986,0.001075694883,TRUE,266,4,0.06
130,ivy,1,https://github.com/apache/Ivy,https://github.com/apache/ant-ivy,TRUE,TRUE,0.9879518072,26.30209603,0,73,0,0.01219512195,0.09174680318,0.01592486168,TRUE,96,2,0
131,jackrabbit,1,https://github.com/apache/Jackrabbit,https://github.com/apache/Jackrabbit,TRUE,TRUE,0.6440677966,36.21237024,0,42,0,0.05263157895,0.07447405526,0.005071374906,TRUE,181,1,0
132,jaxme,1,https://github.com/apache/JaxMe,https://github.com/apache/JaxMe,FALSE,FALSE,,,,,,,,,,,,None
133,jclouds,1,https://github.com/apache/jclouds,https://github.com/apache/jclouds,TRUE,TRUE,1.825396825,32.62962556,0,110,0,0.02608695652,0.1111164149,0.001838573267,FALSE,97,0,0
134,jdo,1,https://github.com/apache/JDO,https://github.com/apache/db-jdo,TRUE,TRUE,1.03030303,47.95298847,0,32,0,0.05882352941,0.09580275503,0.01032765034,FALSE,5,0,0.05882352941
135,jena,1,https://github.com/apache/Jena,https://github.com/apache/Jena,TRUE,TRUE,10.83333333,37.66893744,0.00089686,1115,1,0.1350135014,0.05542735417,0.001189430187,TRUE,533,4,0
136,johnzon,1,https://github.com/apache/Johnzon,https://github.com/apache/Johnzon,TRUE,TRUE,0.9,35.03096381,0,55,0,0.01388888889,0.08648123612,0.0009783322508,TRUE,58,1,0
137,joshua,1,https://github.com/apache/Joshua,https://github.com/apache/Joshua,TRUE,TRUE,1.641509434,93.38291351,0,85,0,0.03448275862,0.08906031674,0.00394047619,TRUE,63,1,0.01149425287
138,jspwiki,1,https://github.com/apache/JSPWiki,https://github.com/apache/JSPWiki,TRUE,TRUE,3.487804878,39.19751083,0,144,0,0.8137931034,0.0725119817,0.003283464725,TRUE,80,2,0
139,juddi,1,https://github.com/apache/jUDDI,https://github.com/apache/jUDDI,TRUE,TRUE,0.08823529412,47.46403992,0,3,0,0,0.125861772,0.001819560116,FALSE,16,0,0
140,juneau,1,https://github.com/apache/Juneau,https://github.com/apache/Juneau,TRUE,TRUE,1.266666667,50.2574093,0,55,0,0,0.06198260722,0.001845607921,FALSE,38,0,0
141,kafka,1,https://github.com/apache/Kafka,https://github.com/apache/Kafka,TRUE,TRUE,105.3119266,31.09118664,0.0055,8816,,0.04341031429,0.04592813323,0.0006206837455,TRUE,10391,1,0.04
142,knox,1,https://github.com/apache/Knox,https://github.com/apache/Knox,TRUE,TRUE,5.988095238,34.39858636,0.0019802,10588,,0.01972386588,0.1008388792,0.001422310807,TRUE,191,1,0.51
143,kudu,1,https://github.com/apache/Kudu,https://github.com/apache/Kudu,TRUE,TRUE,0.5882352941,31.92369011,0,24,0,0.1,0.0452996458,0.0005089199608,TRUE,521,7,0
144,kylin,1,https://github.com/apache/Kylin,https://github.com/apache/Kylin,TRUE,TRUE,21.64197531,59.23914017,0.00174317,1721,3,0.01303854875,0.06122940602,0.0008319792337,TRUE,1411,14,0
145,lens,1,https://github.com/apache/Lens,https://github.com/apache/Lens,TRUE,TRUE,0.6101694915,31.16956226,0,23,0,0.08333333333,0.06627456914,0.001416322314,TRUE,96,3,0.02777777778
146,lenya,1,https://github.com/apache/Lenya,https://github.com/apache/Lenya,TRUE,FALSE,0,31.92457638,0,0,0,0,0.112379349,0.001523631841,FALSE,9,0,0
147,libcloud,1,https://github.com/apache/Libcloud,https://github.com/apache/Libcloud,TRUE,TRUE,11.3030303,103.7728571,0,1483,0,0.07970529136,0.06286490639,0.03720016881,TRUE,828,16,0.02
148,log4cxx,1,https://github.com/apache/log4cxx,https://github.com/apache/logging-log4cxx,TRUE,TRUE,1.314814815,56.73336292,0,0,0,0.05633802817,0.06382312831,0.009093498171,FALSE,0,0,0
149,log4cxx2,1,https://github.com/apache/log4cxx2,https://github.com/apache/log4cxx2,FALSE,FALSE,,,,,,,,,,,,None
150,log4net,1,https://github.com/apache/log4net,https://github.com/apache/logging-log4net,TRUE,TRUE,1.269230769,71.59727869,0,67,0,0.06060606061,0.06630519209,0.009090607044,FALSE,258,0,0.04347826087
151,log4php,1,https://github.com/apache/Log4php,https://github.com/apache/logging-log4php,TRUE,TRUE,0.2558139535,26.17052038,0,17,0,0,0.09077452152,0.004418641726,TRUE,67,1,0
152,lucenenet,1,https://github.com/apache/Lucene.NET,https://github.com/apache/Lucene.NET,TRUE,TRUE,3.366666667,45.16231154,0,422,0,0.1682692308,0.0382857855,0.004176264373,FALSE,554,0,0.04
153,lucy,1,https://github.com/apache/Lucy,https://github.com/apache/Lucy,TRUE,TRUE,1,34.59429403,0,54,0,0,0.07451232899,0.003241878525,FALSE,27,0,0
154,madlib,1,https://github.com/apache/MADlib,https://github.com/apache/MADlib,TRUE,TRUE,8.042253521,138.9496135,0,571,0,0.09265734266,0.07057108732,0.001748134041,TRUE,126,5,0
155,manifoldcf,1,https://github.com/apache/ManifoldCF,https://github.com/apache/ManifoldCF,TRUE,TRUE,0.4520547945,54.80074316,0,20,0,0.1212121212,0.05982179738,0.006654165361,TRUE,57,2,0
156,marmotta,1,https://github.com/apache/Marmotta,https://github.com/apache/Marmotta,TRUE,TRUE,0.5277777778,41.94318883,0,29,0,0,0.06916894699,0.007902990814,TRUE,54,2,0
157,merlin-developer,1,https://github.com/apache/MerlinDeveloper,https://github.com/apache/MerlinDeveloper,FALSE,FALSE,,,,,,,,,,,,None
158,mesos,1,https://github.com/apache/Mesos,https://github.com/apache/Mesos,TRUE,TRUE,4.216494845,42.64261927,0,392,0,0.02200488998,0.03548872395,0.0008026541096,TRUE,1617,20,0.05
159,metamodel,1,https://github.com/apache/MetaModel,https://github.com/apache/MetaModel,TRUE,TRUE,3.139240506,26.45299059,0,245,0,0.1048387097,0.07564458353,0.005694392284,TRUE,141,2,0
