Unnamed: 0,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,prs_found,frequency,dimensionality,ratio_of_duplicate_prs,total_prs(not a mteric),duplicate_prs(not a metric),cntr_management,additive_contribution_index
14,gobblin,0,https://github.com/apache/incubator-Gobblin,https://github.com/apache/incubator-Gobblin,True,True,38.9625,28.70793492,0.16,100.0,16.0,0.03007037748,0.09055103949
15,heron,0,https://github.com/apache/incubator-Heron,https://github.com/apache/incubator-Heron,True,True,38.1,31.10404061,0.025641,39.0,1.0,0.1494768311,0.08497518288
16,hivemall,0,https://github.com/apache/incubator-Hivemall,https://github.com/apache/incubator-Hivemall,True,True,4.518518519,43.62624559,0.0,7.0,0.0,0.0737704918,0.1002221351
17,hudi,0,https://github.com/apache/incubator-Hudi,https://github.com/apache/incubator-Hudi,True,True,48.81034483,33.21170401,0.19863,146.0,29.0,0.0444214876,0.08701078138
18,iceberg,0,https://github.com/apache/incubator-Iceberg,https://github.com/apache/incubator-Iceberg,True,True,63.66666667,44.60871908,0.113208,212.0,24.0,0.2163667524,0.1164343054
19,iotdb,0,https://github.com/apache/incubator-IoTDB,https://github.com/apache/incubator-IoTDB,True,True,113.6176471,43.75942807,0.1875,48.0,9.0,0.08141009384,0.04644979597
20,livy,0,https://github.com/apache/incubator-Livy,https://github.com/apache/incubator-Livy,True,True,6.365384615,25.81226327,0.061728,81.0,5.0,0.05135951662,0.0817985597
21,marvin,0,https://github.com/apache/incubator-Marvin-AI,https://github.com/apache/incubator-marvin,True,True,1.611111111,24.91767355,0.0,3.0,0.0,0.05172413793,0.09057780337
22,milagro,0,https://github.com/apache/incubator-Milagro,https://github.com/apache/incubator-Milagro,True,True,1.388888889,33.5515994,0.0,0.0,0.0,0.04,0.1719747462
23,mxnet,0,https://github.com/apache/incubator-MXNet,https://github.com/apache/incubator-MXNet,True,True,142.4473684,35.81502685,0.023041,217.0,5.0,0.6163713547,0.06426411094
24,myriad,0,https://github.com/apache/incubator-Myriad,https://github.com/apache/incubator-Myriad,True,True,2.836734694,48.37305204,0.0,8.0,0.0,0.04316546763,0.1045943595
25,nemo,0,https://github.com/apache/incubator-Nemo,https://github.com/apache/incubator-Nemo,True,True,7.666666667,30.19133104,0.0,12.0,0.0,0.3819875776,0.1158212052
26,omid,0,https://github.com/apache/incubator-Omid,https://github.com/apache/incubator-Omid,True,True,1.507936508,33.72282204,0.0,13.0,0.0,0.02105263158,0.05195135385
27,pagespeed,0,https://github.com/apache/incubator-PageSpeed,https://github.com/apache/incubator-pagespeed-ngx,True,True,6.65625,24.27151444,0.0,1.0,0.0,0.1345852895,0.01277190803
28,pinot,0,https://github.com/apache/incubator-Pinot,https://github.com/apache/incubator-Pinot,True,True,79.18072289,43.93002394,0.104651,86.0,9.0,0.0494106981,0.08727442606
29,ponymail,0,https://github.com/apache/incubator-PonyMail,https://github.com/apache/incubator-PonyMail,True,True,0.7142857143,21.55542258,0.0,8.0,0.0,0.1555555556,0.03807557352
30,ratis,0,https://github.com/apache/incubator-Ratis,https://github.com/apache/incubator-Ratis,True,True,9.581818182,26.13674169,0.0,23.0,0.0,0.01489757914,0.08126797241
31,rya,0,https://github.com/apache/incubator-Rya,https://github.com/apache/incubator-Rya,True,True,5.35,75.2455857,0.0,14.0,0.0,0.02492211838,0.2109779216
32,s2graph,0,https://github.com/apache/incubator-S2Graph,https://github.com/apache/incubator-S2Graph,True,True,3.846153846,54.39683841,0.0,17.0,0.0,0.025,0.05104386554
33,samoa,0,https://github.com/apache/incubator-SAMOA,https://github.com/apache/incubator-SAMOA,True,True,1.4,44.77275798,0.0,13.0,0.0,0.0119047619,0.1112066909
34,sdap,0,https://github.com/apache/incubator-SDAP,https://github.com/apache/incubator-sdap-nexus,True,True,2.978723404,47.40095485,0.0,5.0,0.0,0.03546099291,0.1135078482
35,shardingsphere,0,https://github.com/apache/incubator-ShardingSphere,https://github.com/apache/incubator-ShardingSphere,True,True,112.9130435,23.22532469,0.0,16.0,0.0,0.5423320659,0.08908882567
36,singa,0,https://github.com/apache/incubator-SINGA,https://github.com/apache/incubator-SINGA,True,True,10.94736842,77.65334026,0.0,21.0,0.0,0.01923076923,0.07874352855
37,spot,0,https://github.com/apache/incubator-Spot,https://github.com/apache/incubator-Spot,True,True,2.982142857,760.9789678,0.0,6.0,0.0,0.02994011976,0.0655508712
38,superset,0,https://github.com/apache/incubator-Superset,https://github.com/apache/incubator-Superset,True,True,127.2533333,280.0010621,0.0,127.0,0.0,0.511453561,0.05458852754
39,tamaya,0,https://github.com/apache/incubator-Tamaya,https://github.com/apache/incubator-Tamaya,True,True,0.8983050847,28.9916988,0.0,0.0,0.0,0.03773584906,0.1179060353
40,taverna,0,https://github.com/apache/incubator-Taverna,https://github.com/apache/incubator-taverna-workbench,True,True,0.5333333333,30.09635198,0.0,2.0,0.0,0.0,0.08218320224
41,tephra,0,https://github.com/apache/incubator-Tephra,https://github.com/apache/incubator-Tephra,True,True,1.690909091,39.72642444,0.0,3.0,0.0,0.0,0.06911882109
42,toree,0,https://github.com/apache/incubator-Toree,https://github.com/apache/incubator-Toree,True,True,2.811594203,24.08374965,0.0,13.0,0.0,0.0412371134,0.1164413272
