 ,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,frequency,dimensionality,prs_found
100,empire,1,https://github.com/apache/Empire-db,https://github.com/apache/Empire-db,True,0.14864864864864866,25.67335891,True
101,esme,1,https://github.com/apache/ESME,https://github.com/apache/ESME,True,0.0,28.98552221,False
102,etch,1,https://github.com/apache/Etch,https://github.com/apache/Etch,True,0.0,42.48888715,False
103,falcon,1,https://github.com/apache/Falcon,https://github.com/apache/Falcon,True,7.189655172413793,26.29923776,True
104,felix,1,https://github.com/apache/Felix,https://github.com/apache/Felix,True,2.144230769230769,31.32404822,True
105,fineract,1,https://github.com/apache/Fineract,https://github.com/apache/Fineract,True,28.507246376811594,49.90701056,True
106,flex,1,https://github.com/apache/Flex,https://github.com/apache/flex-sdk,True,0.6984126984126984,118.6526047,True
107,flink,1,https://github.com/apache/Flink,https://github.com/apache/Flink,True,201.52272727272728,45.7682832,True
108,flume,1,https://github.com/apache/Flume,https://github.com/apache/Flume,True,3.169811320754717,41.03910426,True
109,fluo,1,https://github.com/apache/Fluo,https://github.com/apache/Fluo,True,6.65,27.0703646,True
110,freemarker,1,https://github.com/apache/FreeMarker,https://github.com/apache/FreeMarker,True,0.9861111111111112,46.43845518,True
111,ftpserver,1,https://github.com/apache/FtpServer,https://github.com/apache/FtpServer,True,0.08620689655172414,35.73267197,True
112,geode,1,https://github.com/apache/Geode,https://github.com/apache/Geode,True,92.20779220779221,47.76769653,True
113,geronimo,1,https://github.com/apache/Geronimo,https://github.com/apache/Geronimo,True,0.3,35.33735017,True
114,giraph,1,https://github.com/apache/Giraph,https://github.com/apache/Giraph,True,1.6373626373626373,31.80811672,True
115,gora,1,https://github.com/apache/Gora,https://github.com/apache/Gora,True,2.8068181818181817,35.95880979,True
116,griffin,1,https://github.com/apache/Griffin,https://github.com/apache/Griffin,True,10.962962962962964,68.03542942,True
117,groovy,1,https://github.com/apache/Groovy,https://github.com/apache/Groovy,True,21.166666666666668,35.56769813,True
118,guacamole,1,https://github.com/apache/Guacamole,https://github.com/apache/guacamole-server,True,5.253731343283582,47.73276498,True
119,hama,1,https://github.com/apache/Hama,https://github.com/apache/Hama,True,0.25,30.20731526,True
120,harmony,1,https://github.com/apache/Harmony,https://github.com/apache/Harmony,True,0.0,57.55535249,False
121,hawq,1,https://github.com/apache/HAWQ,https://github.com/apache/HAWQ,True,21.01388888888889,49.09298533,True
122,hcatalog,1,https://github.com/apache/HCatalog,https://github.com/apache/HCatalog,True,0.0,31.32947485,False
123,helix,1,https://github.com/apache/Helix,https://github.com/apache/Helix,True,12.662790697674419,51.45704775,True
124,hermes,1,https://github.com/apache/Hermes,https://github.com/allegro/hermes,True,12.480519480519481,15.07265447,True
125,httpd-cli,1,https://github.com/apache/httpd-CLI,https://github.com/apache/httpd,True,2.0833333333333335,34.15458245,True
126,ibatis,1,https://github.com/apache/iBATIS,https://github.com/mybatis/mybatis-3,True,12.12621359223301,20.52787668,True
127,ignite,1,https://github.com/apache/Ignite,https://github.com/apache/Ignite,True,120.52564102564102,41.18744199,True
128,impala,1,https://github.com/apache/Impala,https://github.com/apache/Impala,True,0.45454545454545453,130.9914961,True
129,isis,1,https://github.com/apache/Isis,https://github.com/apache/Isis,True,8.117021276595745,29.03638732,True
130,ivy,1,https://github.com/apache/Ivy,https://github.com/apache/ant-ivy,True,0.9879518072289156,26.30209603,True
131,jackrabbit,1,https://github.com/apache/Jackrabbit,https://github.com/apache/Jackrabbit,True,0.6440677966101694,36.21237024,True
132,jaxme,1,https://github.com/apache/JaxMe,https://github.com/apache/JaxMe,False,0.0,,False
133,jclouds,1,https://github.com/apache/jclouds,https://github.com/apache/jclouds,True,1.8253968253968254,32.62962556,True
134,jdo,1,https://github.com/apache/JDO,https://github.com/apache/db-jdo,True,1.0303030303030303,47.95298847,True
135,jena,1,https://github.com/apache/Jena,https://github.com/apache/Jena,True,10.833333333333334,37.66893744,True
136,johnzon,1,https://github.com/apache/Johnzon,https://github.com/apache/Johnzon,True,0.9,35.03096381,True
137,joshua,1,https://github.com/apache/Joshua,https://github.com/apache/Joshua,True,1.6415094339622642,93.38291351,True
138,jspwiki,1,https://github.com/apache/JSPWiki,https://github.com/apache/JSPWiki,True,3.4878048780487805,39.19751083,True
139,juddi,1,https://github.com/apache/jUDDI,https://github.com/apache/jUDDI,True,0.08823529411764706,47.46403992,True
140,juneau,1,https://github.com/apache/Juneau,https://github.com/apache/Juneau,True,1.2666666666666666,50.2574093,True
141,kafka,1,https://github.com/apache/Kafka,https://github.com/apache/Kafka,True,105.31192660550458,31.09118664,True
142,knox,1,https://github.com/apache/Knox,https://github.com/apache/Knox,True,5.988095238095238,34.39858636,True
143,kudu,1,https://github.com/apache/Kudu,https://github.com/apache/Kudu,True,0.5882352941176471,31.92369011,True
144,kylin,1,https://github.com/apache/Kylin,https://github.com/apache/Kylin,True,21.641975308641975,59.23914017,True
145,lens,1,https://github.com/apache/Lens,https://github.com/apache/Lens,True,0.6101694915254238,31.16956226,True
146,lenya,1,https://github.com/apache/Lenya,https://github.com/apache/Lenya,True,0.0,31.92457638,False
147,libcloud,1,https://github.com/apache/Libcloud,https://github.com/apache/Libcloud,True,11.303030303030303,103.7728571,True
148,log4cxx,1,https://github.com/apache/log4cxx,https://github.com/apache/logging-log4cxx,True,1.3148148148148149,56.73336292,True
