,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found
145,lens,1,https://github.com/apache/Lens,https://github.com/apache/Lens,True
146,lenya,1,https://github.com/apache/Lenya,https://github.com/apache/Lenya,True
147,libcloud,1,https://github.com/apache/Libcloud,https://github.com/apache/Libcloud,True
148,log4cxx,1,https://github.com/apache/log4cxx,https://github.com/apache/log4cxx,True
149,log4cxx2,1,https://github.com/apache/log4cxx2,https://github.com/apache/log4cxx2,False
150,log4net,1,https://github.com/apache/log4net,https://github.com/apache/logging-log4net,True
151,log4php,1,https://github.com/apache/Log4php,https://github.com/apache/logging-log4php,True
152,lucenenet,1,https://github.com/apache/Lucene.NET,https://github.com/apache/Lucene.NET,True
153,lucy,1,https://github.com/apache/Lucy,https://github.com/apache/Lucy,True
154,madlib,1,https://github.com/apache/MADlib,https://github.com/apache/MADlib,True
155,manifoldcf,1,https://github.com/apache/ManifoldCF,https://github.com/apache/ManifoldCF,True
156,marmotta,1,https://github.com/apache/Marmotta,https://github.com/apache/Marmotta,True
157,merlin-developer,1,https://github.com/apache/MerlinDeveloper,https://github.com/apache/MerlinDeveloper,False
158,mesos,1,https://github.com/apache/Mesos,https://github.com/apache/Mesos,True
159,metamodel,1,https://github.com/apache/MetaModel,https://github.com/apache/MetaModel,True
160,metron,1,https://github.com/apache/Metron,https://github.com/apache/Metron,True
161,mnemonic,1,https://github.com/apache/Mnemonic,https://github.com/apache/Mnemonic,True
162,mod_ftp,1,https://github.com/apache/mod_ftp,https://github.com/OutOfOrder/mod_ftpd,True
163,mrunit,1,https://github.com/apache/MRUnit,https://github.com/apache/MRUnit,True
164,muse,1,https://github.com/apache/Muse,https://github.com/apache/Muse,False
165,myfaces,1,https://github.com/apache/MyFaces,https://github.com/apache/MyFaces,True
166,mynewt,1,https://github.com/apache/Mynewt,https://github.com/apache/mynewt-core,True
167,netbeans,1,https://github.com/apache/NetBeans,https://github.com/apache/NetBeans,True
168,nifi,1,https://github.com/apache/NiFi,https://github.com/apache/NiFi,True
169,nutch,1,https://github.com/apache/Nutch,https://github.com/apache/Nutch,True
170,streams,1,https://github.com/apache/Streams,https://github.com/apache/Streams,True
171,nuvem,1,https://github.com/apache/Nuvem,https://github.com/apache/Nuvem,True
172,ode,1,https://github.com/apache/Ode,https://github.com/apache/Ode,True
173,ofbiz,1,https://github.com/apache/OFBiz,https://github.com/apache/OFBiz,True
174,ognl,1,https://github.com/apache/OGNL,https://github.com/apache/commons-ognl,True
175,olingo,1,https://github.com/apache/Olingo,https://github.com/apache/olingo-odata4,True
176,onami,1,https://github.com/apache/Onami,https://github.com/apache/Onami,True
177,oodt,1,https://github.com/apache/OODT,https://github.com/apache/OODT,True
178,oozie,1,https://github.com/apache/Oozie,https://github.com/apache/Oozie,True
179,climate,1,https://github.com/apache/climate,https://github.com/apache/climate,True
180,openejb,1,https://github.com/apache/OpenEJB,https://github.com/apache/OpenEJB,True
181,openjpa,1,https://github.com/apache/OpenJPA,https://github.com/apache/OpenJPA,True
182,openmeetings,1,https://github.com/apache/Openmeetings,https://github.com/apache/Openmeetings,True
183,opennlp,1,https://github.com/apache/OpenNLP,https://github.com/apache/OpenNLP,True
184,openoffice,1,https://github.com/apache/OpenOffice.org,https://github.com/apache/openoffice,True
185,openwebbeans,1,https://github.com/apache/OpenWebBeans,https://github.com/apache/OpenWebBeans,True
186,openwhisk,1,https://github.com/apache/OpenWhisk,https://github.com/apache/OpenWhisk,True
187,parquet,1,https://github.com/apache/Parquet,https://github.com/apache/parquet-mr,True
188,pdfbox,1,https://github.com/apache/PDFBox,https://github.com/apache/PDFBox,True
189,phoenix,1,https://github.com/apache/Phoenix,https://github.com/apache/Phoenix,True
190,pig,1,https://github.com/apache/Pig,https://github.com/apache/Pig,True
191,pivot,1,https://github.com/apache/Pivot,https://github.com/apache/Pivot,True
192,plc4x,1,https://github.com/apache/PLC4X,https://github.com/apache/PLC4X,True
193,pluto,1,https://github.com/apache/Pluto,https://github.com/apache/Pluto,True
194,predictionio,1,https://github.com/apache/PredictionIO,https://github.com/apache/PredictionIO,True
195,pulsar,1,https://github.com/apache/Pulsar,https://github.com/apache/Pulsar,True
196,qpid,1,https://github.com/apache/Qpid,https://github.com/apache/Qpid,True
197,wookie,1,https://github.com/apache/Wookie,https://github.com/apache/Wookie,True
198,ranger,1,https://github.com/apache/Ranger,https://github.com/apache/Ranger,True
199,rat,1,https://github.com/apache/RAT,https://github.com/apache/creadur-rat,True
200,rave,1,https://github.com/apache/Rave,https://github.com/apache/Rave,True
201,reef,1,https://github.com/apache/REEF,https://github.com/apache/REEF,True
202,river,1,https://github.com/apache/River,https://github.com/apache/river-container,True
203,rocketmq,1,https://github.com/apache/RocketMQ,https://github.com/apache/RocketMQ,True
204,roller,1,https://github.com/apache/Roller,https://github.com/apache/Roller,True
205,samza,1,https://github.com/apache/Samza,https://github.com/apache/Samza,True
206,sanselan,1,https://github.com/apache/Sanselan,https://github.com/apache/Sanselan,True
207,sentry,1,https://github.com/apache/Sentry,https://github.com/apache/Sentry,True
208,servicecomb,1,https://github.com/apache/ServiceComb,https://github.com/apache/servicecomb-java-chassis,True
209,servicemix,1,https://github.com/apache/ServiceMix,https://github.com/apache/ServiceMix,True
210,shindig,1,https://github.com/apache/Shindig,https://github.com/apache/Shindig,True
211,shiro,1,https://github.com/apache/Shiro,https://github.com/apache/Shiro,True
212,sis,1,https://github.com/apache/SIS,https://github.com/apache/SIS,True
213,skywalking,1,https://github.com/apache/SkyWalking,https://github.com/apache/SkyWalking,True
214,sling,1,https://github.com/apache/Sling,https://github.com/apache/Sling,True
215,solr,1,https://github.com/apache/Solr,https://github.com/apache/Solr,True
216,spamassassin,1,https://github.com/apache/SpamAssassin,https://github.com/apache/SpamAssassin,True
217,spark,1,https://github.com/apache/Spark,https://github.com/apache/Spark,True
218,sqoop,1,https://github.com/apache/Sqoop,https://github.com/apache/Sqoop,True
219,stanbol,1,https://github.com/apache/Stanbol,https://github.com/apache/Stanbol,True
220,stdcxx,1,https://github.com/apache/stdcxx,https://github.com/apache/stdcxx,True
221,storm,1,https://github.com/apache/Storm,https://github.com/apache/Storm,True
222,stratos,1,https://github.com/apache/Stratos,https://github.com/apache/Stratos,True
223,subversion,1,https://github.com/apache/Subversion,https://github.com/apache/Subversion,True
224,synapse,1,https://github.com/apache/Synapse,https://github.com/apache/Synapse,True
225,syncope,1,https://github.com/apache/Syncope,https://github.com/apache/Syncope,True
226,systemml,1,https://github.com/apache/SystemML,https://github.com/apache/SystemML,True
227,tajo,1,https://github.com/apache/Tajo,https://github.com/apache/Tajo,True
228,tapestry,1,https://github.com/apache/Tapestry,https://github.com/apache/tapestry-5,True
229,tez,1,https://github.com/apache/Tez,https://github.com/apache/Tez,True
230,thrift,1,https://github.com/apache/Thrift,https://github.com/apache/Thrift,True
231,tika,1,https://github.com/apache/Tika,https://github.com/apache/Tika,True
232,tinkerpop,1,https://github.com/apache/TinkerPop,https://github.com/apache/TinkerPop,True
233,tobago,1,https://github.com/apache/Tobago,https://github.com/apache/myfaces-tobago,True
234,trafficcontrol,1,https://github.com/apache/TrafficControl,https://github.com/apache/TrafficControl,True
235,trafficserver,1,https://github.com/apache/TrafficServer,https://github.com/apache/TrafficServer,True
236,trafodion,1,https://github.com/apache/Trafodion,https://github.com/apache/Trafodion,True
237,trinidad,1,https://github.com/apache/Trinidad,https://github.com/apache/myfaces-trinidad,True
238,tuscany,1,https://github.com/apache/Tuscany,https://github.com/apache/tuscany-sdo,True
239,twill,1,https://github.com/apache/Twill,https://github.com/apache/Twill,True
