listid,listname,pj_alias,status,start_date,end_date,dev_is_available,commit_is_available,is_in_attic,sponsor,intro,istoplv,start_from_scratch,pj_url,pj_github_url
33,S2Graph,s2graph,0,11/29/2015,,t,t,f,"Incubator
		
		(Hyunsik Choi)
		 
	   ",S2Graph is a distributed and scalable OLTP graph database built on Apache HBase to support fast traversal of extremely large graphs.,,,http://incubator.apache.org/projects/s2graph.html,https://github.com/apache/incubator-S2Graph
34,SAMOA,samoa,0,12/15/2014,,t,t,f,"Incubator
		
		(Daniel Dai)
		 
	   ","SAMOA provides a collection of distributed streaming algorithms for the most common data mining and machine learning tasks such as classification, clustering, and regression, as well as programming abstractions to develop new algorithms that run on top of distributed stream processing engines (DSPEs). It features a pluggable architecture that allows it to run on several DSPEs such as Apache Storm, Apache S4, and Apache Samza.",,,http://incubator.apache.org/projects/samoa.html,https://github.com/apache/incubator-SAMOA
35,SDAP,sdap,0,10/22/2017,,t,t,f,"Incubator
		
		(Lewis John McGibbney)
		 
	   ",SDAP is an integrated data analytic center for Big Science problems.,,,http://incubator.apache.org/projects/sdap.html,https://github.com/apache/incubator-SDAP
36,ShardingSphere,shardingsphere,0,11/10/2018,,t,f,f,"Incubator
		
		(Roman Shaposhnik)
		 
	   ","Sharding-Sphere is an ecosystem of transparent distributed database middleware, focusing on data sharding, distributed transaction and database orchestration.",,,http://incubator.apache.org/projects/shardingsphere.html,https://github.com/apache/incubator-ShardingSphere
37,SINGA,singa,0,3/17/2015,,t,t,f,"Incubator
		
		(Thejas Nair)
		 
	   ",SINGA is a distributed deep learning platform.,,,http://incubator.apache.org/projects/singa.html,https://github.com/apache/incubator-SINGA
38,Spot,spot,0,9/23/2016,,t,t,f,"Incubator
		
		(Doug Cutting)
		 
	   ",Apache Spot is a platform for network telemetry built on an open data model and Apache Hadoop.,,,http://incubator.apache.org/projects/spot.html,https://github.com/apache/incubator-Spot
39,Superset,superset,0,5/21/2017,,t,t,f,"Incubator
		
		(Daniel Dai)
		 
	   ","Superset is an enterprise-ready web application for data exploration, data visualization and dashboarding.",,,http://incubator.apache.org/projects/superset.html,https://github.com/apache/incubator-Superset
40,Tamaya,tamaya,0,11/14/2014,,t,t,f,"Incubator
		
		(David Blevins)
		 
	   ","Tamaya is a highly flexible configuration solution based on an modular, extensible and injectable key/value based design, which should provide a minimal but extendible modern and functional API leveraging SE, ME and EE environments.",,,http://incubator.apache.org/projects/tamaya.html,https://github.com/apache/incubator-Tamaya
41,Taverna,taverna,0,10/20/2014,,t,t,f,"Incubator
		
		(Andy Seaborne)
		 
	   ",Taverna is a domain-independent suite of tools used to design and execute data-driven workflows.,,,http://incubator.apache.org/projects/taverna.html,https://github.com/apache/incubator-Taverna
42,Tephra,tephra,0,3/7/2016,,t,t,f,"Incubator
		
		(James Taylor)
		 
	   ","
            Tephra is a system for providing globally consistent transactions on
            top of Apache HBase and other storage engines.
        ",,,http://incubator.apache.org/projects/tephra.html,https://github.com/apache/incubator-Tephra
43,Toree,toree,0,12/2/2015,,t,t,f,"Incubator
		
		(Sam Ruby)
		 
	   ",Toree provides applications with a mechanism to interactively and remotely access Apache Spark.,,,http://incubator.apache.org/projects/toree.html,https://github.com/apache/incubator-Toree
44,Training,training,0,2/21/2019,,t,t,f,"Incubator
		
		(Lars Francke)
		 
	   ","The Training project aims to develop resources which can be used for training purposes in various media formats, languages and for various Apache and non-Apache target projects.",,,http://incubator.apache.org/projects/training.html,https://github.com/apache/incubator-Training
45,Tuweni,tuweni,0,3/25/2019,,t,t,f,"Incubator
		
		(Jim Jagielski)
		 
	   ",Tuweni is a set of libraries and other tools to aid development of blockchain and other decentralized software in Java and other JVM languages.,,,http://incubator.apache.org/projects/tuweni.html,https://github.com/apache/incubator-Tuweni
69,Bloodhound,bloodhound,1,12/23/2011,3/20/2013,t,t,f,"Incubator
		 
	   ","Bloodhound is a software development collaboration tool, including issue tracking, wiki and repository browsing.
		 
	   ",,,http://incubator.apache.org/projects/bloodhound.html,https://github.com/apache/Bloodhound
46,TVM,tvm,0,3/6/2019,,t,f,f,"Incubator
		
		(Markus Weimer)
		 
	   ","TVM is a full stack open deep learning compiler stack for CPUs, GPUs, and specialized accelerators. It aims to close the gap between the productivity-focused deep learning frameworks, and the performance- or efficiency-oriented hardware backends. ",,,http://incubator.apache.org/projects/tvm.html,https://github.com/apache/incubator-TVM
47,Warble,warble,0,6/11/2018,,t,t,f,"Incubator
		
		(Daniel Gruno)
		 
	   ",a distributed endpoint monitoring solution where the agent is hosted on your own hardware.,,,http://incubator.apache.org/projects/warble.html,https://github.com/apache/incubator-Warble
48,Weex,weex,0,11/30/2016,,t,t,f,"Incubator
		
		(Edward J. Yoon)
		 
	   ",Weex is a framework for building Mobile cross-platform high performance UI.,,,http://incubator.apache.org/projects/weex.html,https://github.com/apache/incubator-Weex
