Unnamed: 0,pj_alias,status,pj_github_url,corrected_pj_github_url,pj_github_api_url,correct_url_found,ratio_of_duplicate_prs,total_prs,duplicate_prs
72,carbondata,1,https://github.com/apache/CarbonData,https://github.com/apache/CarbonData,https://api.github.com/repos/apache/CarbonData,TRUE,0.184,125,23
73,cassandra,1,https://github.com/apache/Cassandra,https://github.com/apache/Cassandra,https://api.github.com/repos/apache/Cassandra,TRUE,0.132505176,483,64
74,cayenne,1,https://github.com/apache/Cayenne,https://github.com/apache/Cayenne,https://api.github.com/repos/apache/Cayenne,TRUE,0,30,0
75,celix,1,https://github.com/apache/Celix,https://github.com/apache/Celix,https://api.github.com/repos/apache/Celix,TRUE,0,11,0
76,chemistry,1,https://github.com/apache/Chemistry,https://github.com/apache/Chemistry,https://api.github.com/repos/apache/Chemistry,TRUE,0,0,0
77,chukwa,1,https://github.com/apache/Chukwa,https://github.com/apache/Chukwa,https://api.github.com/repos/apache/Chukwa,TRUE,0,3,0
78,clerezza,1,https://github.com/apache/Clerezza,https://github.com/apache/Clerezza,https://api.github.com/repos/apache/Clerezza,TRUE,0,4,0
79,click,1,https://github.com/apache/Click,https://github.com/apache/Click,https://api.github.com/repos/apache/Click,TRUE,0,0,0
80,cloudstack,1,https://github.com/apache/CloudStack,https://github.com/apache/CloudStack,https://api.github.com/repos/apache/CloudStack,TRUE,0.158878505,107,17
81,commonsrdf,1,https://github.com/apache/CommonsRDF,https://github.com/apache/commons-rdf,https://api.github.com/repos/apache/commons-rdf,TRUE,0,14,0
82,cordova,1,https://github.com/apache/Cordova,https://github.com/apache/Cordova,https://api.github.com/repos/apache/Cordova,TRUE,0,1,0
83,couchdb,1,https://github.com/apache/CouchDB,https://github.com/apache/CouchDB,https://api.github.com/repos/apache/CouchDB,TRUE,0.047619048,21,1
84,crunch,1,https://github.com/apache/Crunch,https://github.com/apache/Crunch,https://api.github.com/repos/apache/Crunch,TRUE,0,4,0
86,curator,1,https://github.com/apache/Curator,https://github.com/apache/Curator,https://api.github.com/repos/apache/Curator,TRUE,0,48,0
87,cxf,1,https://github.com/apache/CXF,https://github.com/apache/CXF,https://api.github.com/repos/apache/CXF,TRUE,0,38,0
88,datafu,1,https://github.com/apache/DataFu,https://github.com/apache/DataFu,https://api.github.com/repos/apache/DataFu,TRUE,0,2,0
89,deltacloud,1,https://github.com/apache/Deltacloud,https://github.com/apache/Deltacloud,https://api.github.com/repos/apache/Deltacloud,TRUE,0,3,0
90,deltaspike,1,https://github.com/apache/DeltaSpike,https://github.com/apache/DeltaSpike,https://api.github.com/repos/apache/DeltaSpike,TRUE,0,6,0
91,derby,1,https://github.com/apache/Derby,https://github.com/apache/Derby,https://api.github.com/repos/apache/Derby,TRUE,0,7,0
92,devicemap,1,https://github.com/apache/DeviceMap,https://github.com/apache/devicemap-browsermap,https://api.github.com/repos/apache/devicemap-browsermap,TRUE,0,0,0
93,directmemory,1,https://github.com/apache/DirectMemory,https://github.com/apache/DirectMemory,https://api.github.com/repos/apache/DirectMemory,TRUE,0,3,0
94,directory,1,https://github.com/apache/Directory,https://github.com/apache/directory-project,https://api.github.com/repos/apache/directory-project,TRUE,0,1,0
95,distributedlog,1,https://github.com/apache/DistributedLog,https://github.com/apache/DistributedLog,https://api.github.com/repos/apache/DistributedLog,TRUE,0,3,0
