Unnamed: 0,pj_alias,status,pj_github_url,corrected_pj_github_url,pj_github_api_url,correct_url_found,has_hard_fork,total_forks,total_hard_forks
89,deltacloud,1,https://github.com/apache/Deltacloud,https://github.com/apache/Deltacloud,https://api.github.com/repos/apache/Deltacloud,TRUE,FALSE,23,0
90,deltaspike,1,https://github.com/apache/DeltaSpike,https://github.com/apache/DeltaSpike,https://api.github.com/repos/apache/DeltaSpike,TRUE,FALSE,127,0
91,derby,1,https://github.com/apache/Derby,https://github.com/apache/Derby,https://api.github.com/repos/apache/Derby,TRUE,FALSE,124,0
92,devicemap,1,https://github.com/apache/DeviceMap,https://github.com/apache/devicemap-browsermap,https://api.github.com/repos/apache/devicemap-browsermap,TRUE,FALSE,5,0
93,directmemory,1,https://github.com/apache/DirectMemory,https://github.com/apache/DirectMemory,https://api.github.com/repos/apache/DirectMemory,TRUE,FALSE,26,0
94,directory,1,https://github.com/apache/Directory,https://github.com/apache/directory-project,https://api.github.com/repos/apache/directory-project,TRUE,FALSE,3,0
95,distributedlog,1,https://github.com/apache/DistributedLog,https://github.com/apache/DistributedLog,https://api.github.com/repos/apache/DistributedLog,TRUE,TRUE,72,1
96,drill,1,https://github.com/apache/Drill,https://github.com/apache/Drill,https://api.github.com/repos/apache/Drill,TRUE,TRUE,858,23
97,dubbo,1,https://github.com/apache/Dubbo,https://github.com/apache/Dubbo,https://api.github.com/repos/apache/Dubbo,TRUE,TRUE,21491,14
98,eagle,1,https://github.com/apache/Eagle,https://github.com/apache/Eagle,https://api.github.com/repos/apache/Eagle,TRUE,TRUE,190,4
99,easyant,1,https://github.com/apache/EasyAnt,https://github.com/apache/ant-easyant-core,https://api.github.com/repos/apache/ant-easyant-core,TRUE,FALSE,7,0
100,empire,1,https://github.com/apache/Empire-db,https://github.com/apache/Empire-db,https://api.github.com/repos/apache/Empire-db,TRUE,FALSE,21,0
101,esme,1,https://github.com/apache/ESME,https://github.com/apache/ESME,https://api.github.com/repos/apache/ESME,TRUE,FALSE,11,0
102,etch,1,https://github.com/apache/Etch,https://github.com/apache/Etch,https://api.github.com/repos/apache/Etch,TRUE,FALSE,8,0
103,falcon,1,https://github.com/apache/Falcon,https://github.com/apache/Falcon,https://api.github.com/repos/apache/Falcon,TRUE,TRUE,106,1
104,felix,1,https://github.com/apache/Felix,https://github.com/apache/Felix,https://api.github.com/repos/apache/Felix,TRUE,TRUE,313,2
105,fineract,1,https://github.com/apache/Fineract,https://github.com/apache/Fineract,https://api.github.com/repos/apache/Fineract,TRUE,TRUE,780,17
106,flex,1,https://github.com/apache/Flex,https://github.com/apache/flex-sdk,https://api.github.com/repos/apache/flex-sdk,TRUE,FALSE,143,0
107,flink,1,https://github.com/apache/Flink,https://github.com/apache/Flink,https://api.github.com/repos/apache/Flink,TRUE,TRUE,9710,11
